Major,P2UCYLG9Y,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena21-fs8.png?t=162f0a3bc?2
mistery,LQCP2QPPR,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena19-fs8.png?t=aabb7945c?2
SPA Bmartiins,8P8PLQUGC,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena17-fs8.png?t=ac4e0ae9c?2
¥EL_BARTO¥,YQ9CLGR82,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena13-fs8.png?t=1e8e66a1c?2
FEN MOURA,PGRR0YVLQ,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena18-fs8.png?t=b45eaf8ec?2
messi,PVQUQCGU,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena15-fs8.png?t=23058bf4c?2
h7 Zico,90PYRV8PJ,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena18-fs8.png?t=b45eaf8ec?2
FBfabio,VGPCV9UG,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena21-fs8.png?t=162f0a3bc?2
TFS | fabiano™,9J9YCV8GG,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena13-fs8.png?t=1e8e66a1c?2
WICK,LGJ2VR29,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena21-fs8.png?t=162f0a3bc?2
aguia delta,9Y2RP2C80,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena18-fs8.png?t=b45eaf8ec?2
Tag de Jogador Inválida,Jonata CR,Tag de Jogador Inválida
Aokittos,YYL2C00J0,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena17-fs8.png?t=ac4e0ae9c?2
GRAZZI,8U0VL98CL,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena17-fs8.png?t=ac4e0ae9c?2
GOLD WOLF,2888R8QQ8,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena19-fs8.png?t=aabb7945c?2
TQD TARIM,2Q9QP0,https://cdn.royaleapi.com/static/img/arenas-fs8/128x128/arena19-fs8.png?t=aabb7945c?2
Tag de Jogador Inválida,9VQQ28YJJ,Tag de Jogador Inválida
